%time,field.data
1520088604651132358,4
1520088604700856855,0
1520088606401039294,4
1520088609201985123,7
1520088611101661269,5
1520088612751018359,4
1520088614952933115,5
1520088616302395589,4
1520088618054201441,4
1520088619203690666,3
1520088620903914848,4
1520088624201544379,8
1520088624905118015,2
1520088627004501307,5
1520088629201998222,5
1520088630702602933,4
1520088633201177609,6
1520088636254485868,7
1520088636801092224,2
1520088638304227662,4
1520088639002007203,2
1520088639451895548,2
1520088642403931908,7
1520088643851983169,4
1520088643902731909,0
1520088645253968826,4
1520088646003196546,2
1520088647854142337,5
1520088648052383508,1
1520088648100661767,0
1520088650801808957,6
1520088651252872304,2
1520088653102384577,5
1520088654202477336,3
1520088656851681743,6
1520088660553027876,8
1520088661753613752,3
1520088662701839234,3
1520088665402476783,6
1520088666054830622,2
1520088667152494335,3
1520088667451245858,2
1520088670101527972,6
1520088672353451218,5
1520088674053897971,4
1520088674101676393,1
1520088675756973483,4
1520088677704054892,5
1520088680304102795,6
1520088680604847100,2
1520088682002907189,4
1520088684602470850,6
1520088686753280034,5
1520088687301067196,2
1520088687651652130,2
1520088688251534342,2
1520088690555153750,6
1520088691400722011,3
1520088692752585304,4
1520088692800941092,0
1520088695953897186,7
1520088696555007548,2
1520088696704401960,1
1520088697253886109,2
1520088701152832500,9
1520088703706837472,6
1520088705506460249,5
1520088707152972173,4
1520088707301179830,1
1520088709604690105,6
1520088711653878200,5
1520088714403222450,6
1520088717302288621,7
1520088717351949533,0
1520088719254269454,5
1520088719304757198,1
1520088720403831497,3
1520088722351003833,5
1520088722400666520,0
1520088722450814148,1
1520088724552007058,5
1520088726552470957,5
1520088727652079373,3
1520088730703839616,7
1520088733303577490,6
1520088734300881642,3
1520088737753948972,8
1520088738801572027,3
1520088740502916648,4
1520088741200725625,2
1520088742152273654,3
1520088743901048124,4
1520088746303689134,6
1520088748451393811,5
1520088751751348701,8
1520088751900902754,1
1520088753105222815,3
1520088753700980521,2
1520088754405173500,2
1520088756501394977,5
1520088758003738894,4
1520088760203545486,5
1520088761051571363,3
1520088762654485677,4
1520088764703634435,5
1520088766251691039,4
1520088766701421930,2
1520088767200772238,2
1520088768753086530,4
1520088769202740148,2
1520088772301561684,7
1520088774801791304,6
1520088776753108576,5
1520088778001492320,3
1520088778754106044,2
1520088780903661189,5
1520088784051000770,7
1520088785251667032,3
1520088786451700698,3
1520088788703694542,5
1520088790551943253,5
1520088793352116225,7
1520088793851881723,2
1520088794703654052,3
1520088797151414256,6
1520088798003832422,3
1520088800054995341,5
1520088801203125072,3
1520088804203689241,7
1520088805603234236,4
1520088807402221522,5
1520088808301521745,3
1520088810451184519,5
1520088812651523406,5
1520088814003741647,4
1520088814051229940,1
1520088816851077310,7
1520088818951875236,5
1520088819851718616,3
1520088820200713846,2
1520088823254140761,7
1520088825403740984,5
1520088826651364511,3
1520088829302518957,6
1520088830450836520,3
1520088832900911390,6
1520088832951751266,0
1520088834801154295,5
1520088836701951235,5
1520088836750665271,0
1520088837453109261,2
1520088839151720724,4
1520088840951537647,5
1520088843002637228,5
1520088845854257466,7
1520088846601981045,2
1520088847751967081,3
1520088849000855377,3
1520088852153829215,7
1520088854455262640,6
1520088854903117219,2
1520088856053569712,3
1520088857053207910,3
1520088858002113315,3
1520088859653920995,4
1520088861655016761,5
1520088861700879266,1
1520088862952928077,3
1520088863001331060,1
1520088864550674830,4
1520088866851698474,6
1520088868701334824,5
1520088871257632365,6
1520088874251645546,7
1520088877051593611,7
1520088877551114120,2
1520088879251062964,4
1520088880903902578,4
1520088881300985544,2
1520088882551306117,3
1520088884900955215,6
1520088886952083860,5
1520088888201031920,3
1520088891553406397,8
1520088892600983579,3
1520088892650806869,0
1520088893401022786,2
1520088896452408358,7
1520088896501250848,0
1520088897201691282,2
1520088900402028033,7
1520088901301209701,3
1520088901351308671,1
1520088903701976122,6
1520088906601299117,7
1520088906651450983,0
